"","ObjectNum","Name","Type","Magnitude","Info","Constellation","List","Season","Zone"
"148","3227","UGC 5620","Galaxy",9.8,"Size: 5.6  pB, cL, R, D with 3226","Leo","Herschel 400","Spring","Green"
"149","3242","PK 261+32.1","Planetary Nebula",8,"Size: 20.8  ! PN , vB, lE 147deg , 45"" d","Hydra","Herschel 400","Spring","Green"
"150","3245","UGC 5663","Galaxy",9.8,"Size: 3.2  vB, pL, E 0deg , smbMEN","Leo Minor","Herschel 400","Fall","Green"
"151","3277","UGC 5731","Galaxy",10.7,"Size: 2.0  cB, cS, R, pgmbM","Leo Minor","Herschel 400","Fall","Green"
"152","3294","UGC 5753","Galaxy",10.7,"Size: 3.3  cB, L, mE 135deg , glbM","Leo Minor","Herschel 400","Fall","Green"
"153","3310","UGC 5786","Galaxy",9.9,"Size: 3.6  cB, pL, R, vg, vsmbMN 15""","Ursa Major","Herschel 400","Winter","Green"
"154","3344","UGC 5840","Galaxy",9,"Size: 6.9  cB, L, gbM, * inv, 2 st f","Leo Minor","Herschel 400","Fall","Green"
"155","3377","UGC 5899","Galaxy",9.2,"Size: 4.4  vB, cL, lE, svmbMBN","Leo","Herschel 400","Spring","Green"
"156","3379","M 105","Galaxy",8.3,"Size: 4.5  vB, cL, R, psbM, r; = M105","Leo","Herschel 400","Spring","Green"
"157","3384","NGC 3371","Galaxy",9,"Size: 5.9  vB, L, R, psmbM, 2nd of 3","Leo","Herschel 400","Spring","Green"
"158","3395","UGC 5931","Galaxy",11.1,"Size: 1.9  cB, pS, ilE, 1st of 2","Leo Minor","Herschel 400","Fall","Green"
"159","3412","UGC 5952","Galaxy",9.6,"Size: 3.6  B, S, lE 135deg +/- , smbMN","Leo","Herschel 400","Spring","Green"
"160","3414","UGC 5959","Galaxy",9.8,"Size: 3.6  B, pL, R, mbM","Leo Minor","Herschel 400","Fall","Green"
"161","3432","UGC 5986","Galaxy",10.3,"Size: 6.2  pB, pL, vmE 40deg , **  close","Leo Minor","Herschel 400","Fall","Green"
"162","3486","UGC 6079","Galaxy",9.3,"Size: 6.9  cB, cL, R, gmbM","Leo Minor","Herschel 400","Fall","Green"
"163","3489","UGC 6082","Galaxy",9.3,"Size: 3.7  vB, pL, lE 80deg +/- , smbMN","Leo","Herschel 400","Spring","Green"
"164","3504","UGC 6118","Galaxy",10.1,"Size: 2.7  B, L, E, mbMN, rr, p of 2","Leo Minor","Herschel 400","Fall","Green"
"165","3521","UGC 6150","Galaxy",7.9,"Size: 9.5  cB, cL, mE 140deg +/- , vsmbM","Leo","Herschel 400","Spring","Green"
"166","3556","M 108","Galaxy",9.1,"Size: 8.3  cB, vL, vmE 79deg , pbM, r; =","Ursa Major","Herschel 400","Winter","Green"
"167","3593","UGC 6272","Galaxy",10,"Size: 5.8  B, cL, E 90deg +/- , psmbM","Leo","Herschel 400","Spring","Green"
"168","3607","UGC 6297","Galaxy",9,"Size: 3.7  vB, L, R, vmbM, 2nd of 3","Leo","Herschel 400","Spring","Green"
"169","3608","UGC 6299","Galaxy",10,"Size: 3.0  B, pL, R, psbM, 3rd of 3","Leo","Herschel 400","Spring","Green"
"170","3610","UGC 6319","Galaxy",9.8,"Size: 3.2  vB, pS, lE 90deg +/- , vsvmbM","Ursa Major","Herschel 400","Winter","Green"
"171","3613","UGC 6323","Galaxy",11,"Size: 3.6  vB, cL, mE 305deg , smbMN","Ursa Major","Herschel 400","Winter","Green"
"172","3619","UGC 6330","Galaxy",12,"Size: 3.1  cB, cL, R, vgmbM","Ursa Major","Herschel 400","Winter","Green"
