"","product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"2360","B01GTP417C","Excellent Hammock, Poor Order Fulfillment","Heinrich",2013-10-21,1,"",1,"ENO makes a fantastic Hammock.So much so that it is especially unfortunate that I have not had the good fortune of receiving the one I ordered.In fact, the Hammock I received is neither of the correct make nor color.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEBJXX6X5DV2UBSSKFPZ6NTR2YXQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEBJXX6X5DV2UBSSKFPZ6NTR2YXQ"
"2361","B01GTP417C","Very good","Mickey",2013-10-21,1,"
      Khaki/OlivePackage Type: Standard Packaging",5,"I use this hammock for camping along with the ENO underquilt and I love it.  I will never go back to ground camping.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQLSRCDF2GOY7MODRVZFAYPM73Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQLSRCDF2GOY7MODRVZFAYPM73Q"
"2362","B01GTP417C","awesome!","jordan",2013-10-21,1,"
      *Red/CharcoalPackage Type: Standard Packaging",5,"Best hammock ever.  Easy setup and light weight  awesome for camping or daily use  fell asleep pretty quickly in it.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEC6T4QJELWNXNBI3Z3DMFLDPGFA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEC6T4QJELWNXNBI3Z3DMFLDPGFA"
"2363","B01GTP417C","gift","Sandra Stutes",2013-10-17,1,"",5,"ordered as a gift and have been told it is wonderful! Good construction. Top of line. Recipient very pleased. Recomend ut.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGMCPBOVMOW4HCGRD7U67EPTVFAA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGMCPBOVMOW4HCGRD7U67EPTVFAA"
"2364","B01GTP417C","Say it with me: Ahhhhhhh!","J. Danforth",2013-10-15,1,"
      Khaki/BlackPackage Type: Standard Packaging",5,"Crawling into this hammock immediately releases 10% of stress from your body.  Napping in it is a surefire way to remove the remaining 90%.Setup is a snap and the integrated carry case in the form of the pocket is handy.I am 6 feet 2 inches tall and 275lbs.  The DoubleNest holds me just fine so if you're also a big ham fatty like me then you're covered.  The DoubleNest also has enough material to wrap around you completely.  I use this as a handy way to keep bugs off of me while I nap in the woods.You can attach the hammock to trees, poles, etc. with rope or the ENO straps.  I bought the Atlas straps and just solved the problem effortlessly.  Yeah, they're heavier than rope but whatever... they're cheap.  The Atlas straps also fit inside the DoubleNest carry pouch if you cram them in properly.  The whole thing winds up being about the size of a grapefruit.  It doesn't hurt very much when this ball of hammock hits you after someone throws it.A few potential flaws:1. You will have to discuss this product with everyone that sees it:  ""Who makes that?!  How much was it?! Where do I get one?!""  Honestly... it's like these people haven't heard of the Internet.2. The fabric is very thin which is good for weight but it also brings a surprise.  The fabric is so thin and the circulation so good around your behammocked supine body that you will lose heat quickly.  That's great for the summer but bad for cooler weather including summer nights at higher elevations.  You can try to squish a sleeping pad in there with your sleeping bag but it's finicky.  What will probably happen is that the sleeping pad winds up on top of you mysteriously in the night and your butt is freezing.  If you intend to overnight in a hammock then ENO makes a different product which might work better for you called the Reactor but it's not available in as many groovy colors.3. If you're like me then you'll take it everywhere because you think ""Yeah!  Relaxin' time!"" but then you'll get out to the beach like a moron and realize that there's nothing to attach it to.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AE3JSD6Y5ZQHRNC7V3OIOFBVHJPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AE3JSD6Y5ZQHRNC7V3OIOFBVHJPQ"
"2365","B01GTP417C","nice product","pghchico",2013-10-15,1,"",4,"i've only used it once so far,  but have used a hammock for years.  this is a very nice hammock , nice and comfortable.  Do yourself a favor and buy the  double nest rather than the  single,  for the space and extra weight capacity.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHUZRYPF7CMWYBILYZMWPEWL7KLQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHUZRYPF7CMWYBILYZMWPEWL7KLQ"
"2366","B01GTP417C","Very good","Liam O'Neil",2013-10-13,1,"",5,"We love this hammock. Fun forour 3  kids to lay in. Very supportive for us adults too. Highly recommend it.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEVFFHP2E2AXYRSBIM7P2J27VRIA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEVFFHP2E2AXYRSBIM7P2J27VRIA"
"2367","B01GTP417C","Wonderful","Melissa M. Beal",2013-10-11,1,"
      Powder/RoyalPackage Type: Standard Packaging",5,"Relaxing, wonderful........and lots of fun for kids.  Our kids have pushed this hammock to the limit.  On a breezy fall day - being able to wrap yourself up and block the breeze is great.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AF25M7IEJKDKOTXGXTTSQXIYYQYQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AF25M7IEJKDKOTXGXTTSQXIYYQYQ"
"2368","B01GTP417C","Best hammock","Monarchos",2013-10-10,1,"
      Powder/RoyalPackage Type: Standard Packaging",5,"Got this a Christmas present for 2012.  We usually use it on our porch.  It's great.  The double is much nicer than the single nest.  If you want a hammock, get this one!  Comes with carabiners on either end.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AF3WJL2RJLKBGFNBW3HG772U4C4A/ref=cm_cr_arp_d_pdp?ie=UTF8","AF3WJL2RJLKBGFNBW3HG772U4C4A"
"2369","B01GTP417C","Awesome hammock!","Kim Chambers",2013-10-09,1,"
      Khaki/OlivePackage Type: Standard Packaging",5,"After years of wanting a hammock, I finally purchased one! I chose an ENO DoubleNest and have LOVED it. It packs down into a small (grapefruit-sized) bag, which is attached to the hammock. Very lightweight - I've been carrying my hammock with me whenever I go out walking/hiking/biking just in case I find two perfect trees to set it up. After one use, my husband wanted one of his own (which we ordered that same day). The fabric is breathable, so it's nice to pull the ends over your head when sleeping. I highly recommend this hammock!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AF3WADCFW7RRDBFO2HZPHYRYEZEA/ref=cm_cr_arp_d_pdp?ie=UTF8","AF3WADCFW7RRDBFO2HZPHYRYEZEA"
